Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,55,3,12.4,2.0,3.8,.541,0.0,0.0,,2.0,3.8,.541,.541,1.0,1.9,.515,1.3,2.3,3.6,0.5,0.3,0.5,0.7,1.6,5.0
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,56,56,28.0,3.4,5.4,.620,0.0,0.1,.000,3.4,5.4,.627,.620,1.1,2.4,.444,3.8,5.2,9.0,1.9,0.9,0.7,1.4,2.0,7.8
4,Bam Adebayo\adebaba01,C,23,MIA,55,55,33.5,7.2,12.7,.568,0.0,0.1,.250,7.2,12.6,.571,.569,4.6,5.7,.804,2.3,6.8,9.1,5.3,1.1,1.1,2.7,2.2,19.1
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,25.9,5.4,11.4,.473,1.2,3.1,.388,4.2,8.3,.505,.525,1.6,1.8,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,26.0,5.0,9.6,.521,0.8,1.0,.800,4.2,8.6,.488,.563,2.0,2.0,1.000,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,9,0,3.2,0.2,1.1,.200,0.1,0.8,.143,0.1,0.3,.333,.250,0.1,0.2,.500,0.1,0.4,0.6,0.1,0.0,0.1,0.1,0.1,0.7
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,20.8,3.9,9.2,.418,1.6,4.6,.348,2.3,4.7,.487,.504,1.0,1.3,.750,0.2,2.8,3.1,2.0,1.0,0.5,1.4,1.9,10.2
8,Grayson Allen\allengr01,SG,25,MEM,47,35,25.6,3.6,8.6,.423,2.3,5.7,.397,1.4,2.9,.474,.555,1.6,1.9,.862,0.4,2.9,3.3,2.1,1.0,0.2,1.0,1.5,11.1
9,Jarrett Allen\allenja01,C,22,TOT,52,34,29.1,4.9,7.6,.642,0.1,0.3,.385,4.8,7.3,.651,.648,3.4,4.7,.718,3.0,6.8,9.8,1.6,0.5,1.5,1.5,1.6,13.2
9,Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen\allenja01,C,22,CLE,40,29,29.9,5.2,8.2,.635,0.1,0.3,.385,5.1,7.9,.646,.643,3.3,4.6,.707,3.0,6.7,9.7,1.6,0.5,1.5,1.5,1.6,13.8
10,Al-Farouq Aminu\aminual01,PF,30,TOT,20,14,19.6,1.8,4.6,.391,0.4,1.7,.212,1.5,3.0,.492,.429,0.8,1.0,.842,1.0,4.0,5.0,1.5,0.9,0.5,1.4,1.3,4.8
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,21.6,2.1,5.2,.404,0.4,1.8,.226,1.7,3.4,.500,.444,0.8,1.0,.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5
10,Al-Farouq Aminu\aminual01,PF,30,CHI,3,0,8.0,0.0,1.0,.000,0.0,0.7,.000,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,3.0,3.0,0.3,0.0,0.0,0.7,1.0,0.7
11,Kyle Anderson\anderky01,PF,27,MEM,58,58,27.2,4.4,9.5,.464,1.3,3.8,.347,3.1,5.7,.541,.533,2.0,2.6,.785,0.8,5.2,6.0,3.5,1.2,0.8,1.2,1.8,12.2
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,51,51,33.6,10.3,18.1,.568,1.1,3.6,.301,9.2,14.5,.633,.597,6.8,10.0,.682,1.7,9.7,11.4,6.0,1.2,1.3,3.6,2.7,28.5
